date,revenue
2024-04-01,0.0
2024-04-02,0.0
2024-04-03,0.0
2024-04-04,0.0
2024-04-05,0.0
2024-04-06,0.0
2024-04-07,0.0
2024-04-08,0.0
2024-04-09,0.0
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,0.0
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,0.0
2024-04-16,0.0
2024-04-17,0.0
2024-04-18,0.0
2024-04-19,0.0
2024-04-20,0.0
2024-04-21,44.85
2024-04-22,0.0
2024-04-23,0.0
2024-04-24,0.0
2024-04-25,0.0
2024-04-26,0.0
2024-04-27,36.85
2024-04-28,36.85
2024-04-29,0.0
2024-04-30,0.0
2024-05-01,16.11
2024-05-02,0.0
2024-05-03,0.0
2024-05-04,24.01
2024-05-05,0.0
2024-05-06,0.0
2024-05-07,0.0
2024-05-08,0.0
2024-05-09,218.25
2024-05-10,0.0
2024-05-11,0.0
2024-05-12,0.0
2024-05-13,0.0
2024-05-14,84.8
2024-05-15,66.75
2024-05-16,35.9
2024-05-17,140.55
2024-05-18,14.95
2024-05-19,0.0
2024-05-20,0.0
2024-05-21,149.5
2024-05-22,0.0
2024-05-23,0.0
2024-05-24,0.0
2024-05-25,0.0
2024-05-26,0.0
2024-05-27,0.0
2024-05-28,0.0
2024-05-29,0.0
2024-05-30,88.9
2024-05-31,34.9
2024-06-01,37.9
2024-06-02,0.0
2024-06-03,0.0
2024-06-04,0.0
2024-06-05,47.17
2024-06-06,0.0
2024-06-07,0.0
2024-06-08,14.95
2024-06-09,0.0
2024-06-10,0.0
2024-06-11,18.95
2024-06-12,51.8
2024-06-13,97.9
2024-06-14,14.95
2024-06-15,0.0
2024-06-16,25.9
2024-06-17,0.0
2024-06-18,0.0
2024-06-19,0.0
2024-06-20,0.0
2024-06-21,14.95
2024-06-22,0.0
2024-06-23,0.0
2024-06-24,0.0
2024-06-25,0.0
2024-06-26,32.22
2024-06-27,0.0
2024-06-28,14.95
2024-06-29,0.0
2024-06-30,0.0
2024-07-01,0.0
2024-07-02,0.0
2024-07-03,0.0
2024-07-04,0.0
2024-07-05,0.0
2024-07-06,0.0
2024-07-07,0.0
2024-07-08,0.0
2024-07-09,0.0
2024-07-10,28.43
2024-07-11,0.0
2024-07-12,36.85
2024-07-13,0.0
2024-07-14,0.0
2024-07-15,42.01
2024-07-16,89.7
2024-07-17,0.0
2024-07-18,0.0
2024-07-19,0.0
2024-07-20,0.0
2024-07-21,0.0
2024-07-22,0.0
2024-07-23,25.9
2024-07-24,0.0
2024-07-25,0.0
2024-07-26,0.0
2024-07-27,0.0
2024-07-28,0.0
2024-07-29,21.9
2024-07-30,0.0
2024-07-31,0.0
2024-08-01,0.0
2024-08-02,0.0
2024-08-03,0.0
2024-08-04,0.0
2024-08-05,0.0
2024-08-06,0.0
2024-08-07,0.0
2024-08-08,0.0
2024-08-09,0.0
2024-08-10,9.48
2024-08-11,40.85
2024-08-12,0.0
2024-08-13,131.8
2024-08-14,0.0
2024-08-15,40.9
2024-08-16,18.95
2024-08-17,0.0
2024-08-18,0.0
2024-08-19,89.7
2024-08-20,0.0
2024-08-21,36.85
2024-08-22,0.0
2024-08-23,14.95
2024-08-24,0.0
2024-08-25,0.0
2024-08-26,0.0
2024-08-27,0.0
2024-08-28,37.9
2024-08-29,10.95
2024-08-30,15.01
2024-08-31,78.85
2024-09-01,0.0
2024-09-02,56.95
2024-09-03,41.9
2024-09-04,30.0
2024-09-05,0.0
2024-09-06,0.0
2024-09-07,0.0
2024-09-08,0.0
2024-09-09,0.0
2024-09-10,52.85
2024-09-11,0.0
2024-09-12,0.0
2024-09-13,0.0
2024-09-14,0.0
2024-09-15,0.0
2024-09-16,0.0
2024-09-17,14.95
2024-09-18,29.9
2024-09-19,0.0
2024-09-20,55.8
2024-09-21,0.0
2024-09-22,0.0
2024-09-23,44.85
2024-09-24,58.27
2024-09-25,0.0
2024-09-26,0.0
2024-09-27,18.95
2024-09-28,47.8
2024-09-29,59.8
2024-09-30,0.0
2024-10-01,36.85
2024-10-02,43.01
2024-10-03,0.0
2024-10-04,46.49
2024-10-05,0.0
2024-10-06,0.0
2024-10-07,114.85
2024-10-08,23.9
2024-10-09,0.0
2024-10-10,76.8
2024-10-11,0.0
2024-10-12,39.9
2024-10-13,32.9
2024-10-14,74.75
2024-10-15,45.85
2024-10-16,0.0
2024-10-17,67.91
2024-10-18,31.9
2024-10-19,0.0
2024-10-20,0.0
2024-10-21,0.0
2024-10-22,18.95
2024-10-23,112.65
2024-10-24,35.9
2024-10-25,39.9
2024-10-26,100.65
2024-10-27,18.95
2024-10-28,0.0
2024-10-29,63.8
2024-10-30,32.22
2024-10-31,235.74
